,fluencer,follower,score
53,Soundgarden,Stone Temple Pilots,1.1331484530668263
54,Soundgarden,Stone Sour,1.1331484530668263
55,Soundgarden,Bush,1.1331484530668263
56,Soundgarden,Godsmack,1.1331484530668263
57,Soundgarden,Tantric,1.1331484530668263
58,Soundgarden,Seven Mary Three,1.1331484530668263
59,Soundgarden,Kyuss,1.0
60,Soundgarden,Creed,1.1331484530668263
61,Soundgarden,Evanescence,1.1331484530668263
62,Soundgarden,Deftones,1.0
63,Soundgarden,Hinder,1.2840254166877414
64,Soundgarden,Nickelback,1.1331484530668263
65,Soundgarden,3 Doors Down,1.1331484530668263
66,Soundgarden,Fu Manchu,1.1331484530668263
67,t.A.T.u.,Girls Aloud,1.0
68,Serge Chaloff,Gerry Mulligan,1.1331484530668263
69,Syreeta,Alicia Keys,1.4549914146182013
70,Syreeta,Solange,1.6487212707001282
71,Syreeta,Tweet,1.4549914146182013
72,Syreeta,Janet Jackson,1.1331484530668263
73,Syreeta,King,1.8682459574322223
74,Alla Rakha,Collin Walcott,2.9099828292364025
75,Alla Rakha,Zakir Hussain,1.2840254166877414
76,Alla Rakha,Philip Glass,2.568050833375483
77,Pam Tillis,SHeDAISY,1.0
78,Pam Tillis,Dixie Chicks,1.0
79,Pam Tillis,Gretchen Wilson,1.2840254166877414
80,Pam Tillis,Sara Evans,1.1331484530668263
81,Pam Tillis,Taylor Swift,2.568050833375483
82,Pam Tillis,Sugarland,1.2840254166877414
83,Pam Tillis,Mindy McCready,1.1331484530668263
84,Pam Tillis,Kellie Pickler,1.2840254166877414
85,Pam Tillis,Carrie Underwood,1.2840254166877414
86,Pam Tillis,Sunny Sweeney,1.2840254166877414
87,Pam Tillis,Crystal Shawanda,1.2840254166877414
88,All That Remains,Bring Me the Horizon,1.1331484530668263
89,All That Remains,As Blood Runs Black,1.1331484530668263
90,All That Remains,All Shall Perish,1.1331484530668263
91,Speedy,Wisin & Yandel,2.382492433224716
92,Alfred Newman,Dick Hyman,2.2662969061336526
93,Alfred Newman,John Williams,1.2840254166877414
94,Alfred Newman,John Barry,1.2840254166877414
95,Alfred Newman,Jerry Goldsmith,1.2840254166877414
96,Alfred Newman,Randy Newman,2.9099828292364025
97,Alfred Newman,Henry Mancini,2.2662969061336526
98,Allan Holdsworth,Eddie Van Halen,1.0
99,Allan Sherman,Loudon Wainwright III,2.2662969061336526
100,Allan Sherman,Adam Sandler,1.2840254166877414
101,Sergio Mendes,Chuck Mangione,2.0
102,Sergio Mendes,Stereolab,2.9099828292364025
103,Sergio Mendes,Carpenters,2.0
104,Sergio Mendes,The Lightning Seeds,2.568050833375483
105,Sergio Mendes,David Byrne,2.2662969061336526
106,Tangerine Dream,Patrick O'Hearn,2.568050833375483
107,Tangerine Dream,Software,2.568050833375483
108,Tangerine Dream,Steve Roach,2.2662969061336526
109,Tangerine Dream,The Flying Lizards,1.1331484530668263
110,Tangerine Dream,The KLF,1.2840254166877414
111,Tangerine Dream,Kitaro,2.2662969061336526
112,Tangerine Dream,Labradford,2.9099828292364025
113,Tangerine Dream,Edgar Froese,1.0
114,Tangerine Dream,Enigma,1.4549914146182013
115,Tangerine Dream,Gas,1.4549914146182013
116,Tangerine Dream,M83,3.2974425414002564
117,Tangerine Dream,John Tesh,2.568050833375483
118,Tangerine Dream,Dead Can Dance,2.568050833375483
119,Tangerine Dream,The Rockets,2.2662969061336526
120,Tangerine Dream,Devo,2.2662969061336526
121,Tangerine Dream,Aphex Twin,1.4549914146182013
122,Tangerine Dream,The The,2.2662969061336526
123,Tangerine Dream,Ryuichi Sakamoto,1.1331484530668263
124,Tangerine Dream,Seefeel,1.4549914146182013
125,Tangerine Dream,Cabaret Voltaire,2.2662969061336526
126,Tangerine Dream,Giorgio Moroder,2.0
127,Tangerine Dream,Hawkwind,2.0
128,Tangerine Dream,Mannheim Steamroller,2.2662969061336526
129,Tangerine Dream,Yellow Magic Orchestra,1.1331484530668263
130,Tangerine Dream,Yello,1.1331484530668263
131,Tangerine Dream,Yanni,2.568050833375483
132,Tangerine Dream,Alphaville,2.568050833375483
133,Tangerine Dream,Falco,2.568050833375483
134,Tangerine Dream,The Future Sound of London,1.4549914146182013
135,Tangerine Dream,The Orb,1.2840254166877414
136,Tangerine Dream,808 State,1.2840254166877414
137,Tangerine Dream,The Art of Noise,2.568050833375483
138,Tangerine Dream,Enya,2.568050833375483
139,Tangerine Dream,Oneohtrix Point Never,1.6487212707001282
140,P.P. Arnold,Soft Cell,2.568050833375483
141,Pablo Cruise,Steve Wariner,2.0
142,Allan Jones,Andy Williams,1.1331484530668263
143,Tank,Eric Bellinger,1.1331484530668263
144,Tank,Rotimi,1.1331484530668263
145,Andrew Lloyd Webber,Trans-Siberian Orchestra,2.9099828292364025
146,Andrew Lloyd Webber,...And You Will Know Us by the Trail of Dead,2.9099828292364025
147,Andrew Lloyd Webber,Michael Ball,2.568050833375483
148,Andrew Lloyd Webber,CÃ©line Dion,2.568050833375483
149,Andrew Lloyd Webber,Dennis DeYoung,2.0
150,Andrew Lloyd Webber,Leo Sayer,2.2662969061336526
151,Andrew Lloyd Webber,Savatage,2.568050833375483
152,Andrew Lloyd Webber,Josh Groban,3.2974425414002564
153,Andrew Lloyd Webber,Sarah Brightman,2.2662969061336526
154,Andrew Lloyd Webber,Meat Loaf,2.2662969061336526
155,Andrew Lloyd Webber,Karen Akers,2.568050833375483
156,Andrew Lloyd Webber,Air Supply,2.2662969061336526
157,Andrew Lloyd Webber,Mandy Patinkin,2.2662969061336526
158,Andrew Lloyd Webber,Michael BublÃ©,2.9099828292364025
159,Pato Banton,Shaggy,1.1331484530668263
160,Pato Banton,Eek-A-Mouse,1.0
161,Pato Banton,Lucky Dube,1.1331484530668263
162,Pato Banton,Beenie Man,1.191246216612358
163,Southern Culture on the Skids,Drive-By Truckers,1.1331484530668263
164,T-Bone Walker,Ten Years After,2.9099828292364025
165,T-Bone Walker,Son Seals,1.4549914146182013
166,T-Bone Walker,Susan Tedeschi,2.117000016612675
167,T-Bone Walker,B.B. King,1.1331484530668263
168,T-Bone Walker,"Bobby ""Blue"" Bland",1.2840254166877414
169,T-Bone Walker,Chris Rea,3.2974425414002564
170,T-Bone Walker,Chuck Berry,2.568050833375483
171,T-Bone Walker,The Fabulous Thunderbirds,3.2974425414002564
172,T-Bone Walker,"Clarence ""Gatemouth"" Brown",1.1331484530668263
173,T-Bone Walker,Earl Hooker,1.2840254166877414
174,T-Bone Walker,Earl King,2.568050833375483
175,T-Bone Walker,Luther Allison,1.4549914146182013
176,T-Bone Walker,Elmore James,1.0
177,T-Bone Walker,Freddie King,1.2840254166877414
178,T-Bone Walker,Eric Clapton,2.9099828292364025
179,T-Bone Walker,Eric Johnson,2.9099828292364025
180,T-Bone Walker,War,3.2974425414002564
181,T-Bone Walker,Doug Sahm,2.9099828292364025
182,T-Bone Walker,"Johnny ""Guitar"" Watson",1.2840254166877414
183,T-Bone Walker,Pee Wee Crayton,1.0
184,T-Bone Walker,Howlin' Wolf,1.0
185,T-Bone Walker,Louis Jordan,2.0
186,T-Bone Walker,Little Milton,1.2840254166877414
187,T-Bone Walker,Jerry Garcia,2.9099828292364025
188,T-Bone Walker,Rory Gallagher,1.4549914146182013
189,T-Bone Walker,Roy Buchanan,1.2840254166877414
190,T-Bone Walker,Jimi Hendrix,2.9099828292364025
191,T-Bone Walker,? & the Mysterians,2.9099828292364025
192,T-Bone Walker,Albert Collins,1.2840254166877414
193,T-Bone Walker,Albert King,1.2840254166877414
194,T-Bone Walker,Stevie Ray Vaughan,3.2974425414002564
195,T-Bone Walker,George Thorogood,3.2974425414002564
196,T-Bone Walker,Guitar Slim,1.2840254166877414
197,T-Bone Walker,The Allman Brothers Band,2.9099828292364025
198,T-Bone Walker,The Animals,2.9099828292364025
199,T-Bone Walker,Shuggie Otis,2.9099828292364025
200,T-Bone Walker,The Blasters,3.2974425414002564
201,T-Bone Walker,Eddie Cochran,2.568050833375483
202,T-Bone Walker,Elvin Bishop,2.9099828292364025
203,T-Bone Walker,John Lee Hooker,1.1331484530668263
204,T-Bone Walker,Johnny Otis,1.1331484530668263
205,T-Bone Walker,Johnny Winter,1.4549914146182013
206,T-Bone Walker,Robert Cray,1.6487212707001282
207,T-Bone Walker,Peter Green,2.9099828292364025
208,T-Bone Walker,Otis Rush,1.2840254166877414
209,T-Bone Walker,Buddy Guy,1.2840254166877414
210,T-Bone Walker,Canned Heat,2.9099828292364025
211,T-Bone Walker,Don Covay,2.9099828292364025
212,T.S.O.L.,Face to Face,1.1331484530668263
213,Selena,Paulina Rubio,1.0
214,Selena,Control,1.2840254166877414
215,Selena,Jennifer Lopez,2.2662969061336526
216,Selena,Ricky Martin,1.0
217,Selena,3LW,2.2662969061336526
218,Selena,Enrique Iglesias,1.1331484530668263
219,Selena,Palomo,1.2840254166877414
220,Selena,ThalÃ­a,1.0
221,Selena,Christina Aguilera,2.2662969061336526
222,Selena,Shakira,1.1331484530668263
223,Selena,LiberaciÃ³n,1.0
224,Selena,Nelly Furtado,2.2662969061336526
225,Selena,Fifth Harmony,2.9099828292364025
226,Alicia Keys,Stacie Orrico,2.0
227,Alicia Keys,Sara Bareilles,2.2662969061336526
228,Alicia Keys,Karina,1.1331484530668263
229,Alicia Keys,Elle Varner,1.2840254166877414
230,Alicia Keys,Fifth Harmony,2.568050833375483
231,Alicia Keys,Astrid S,2.568050833375483
232,Alfredo Gutierrez,Carlos Vives,1.4549914146182013
233,Pantera,Sevendust,1.1331484530668263
234,Pantera,Skindred,1.1331484530668263
235,Pantera,Soilwork,1.1331484530668263
236,Pantera,The Black Dahlia Murder,1.2840254166877414
237,Pantera,Atreyu,1.1331484530668263
238,Pantera,Soulfly,1.1331484530668263
239,Pantera,Bleeding Through,1.2840254166877414
240,Pantera,Black Label Society,1.1331484530668263
241,Pantera,Crowbar,1.0
242,Pantera,Korn,1.1331484530668263
243,Pantera,Clutch,1.1331484530668263
244,Pantera,Every Time I Die,1.1331484530668263
245,Pantera,Shadows Fall,1.1331484530668263
246,Pantera,Fear Factory,1.0
247,Pantera,Staind,1.1331484530668263
248,Pantera,Vision of Disorder,1.1331484530668263
249,Pantera,Machine Head,1.1331484530668263
250,Pantera,Limp Bizkit,1.1331484530668263
251,Pantera,10 Years,1.1331484530668263
252,Pantera,Norma Jean,1.1331484530668263
253,Pantera,Neurosis,1.0
254,Pantera,Meshuggah,1.0
255,Pantera,Mudvayne,1.1331484530668263
256,Pantera,My Chemical Romance,1.2840254166877414
257,Pantera,Godsmack,1.1331484530668263
258,Pantera,Avenged Sevenfold,1.1331484530668263
259,Pantera,Gojira,1.1331484530668263
260,Pantera,Slipknot,1.1331484530668263
261,Pantera,Killswitch Engage,1.1331484530668263
262,Pantera,Lamb of God,1.1331484530668263
263,Pantera,Tool,1.1331484530668263
264,Pantera,Coal Chamber,1.1331484530668263
265,Pantera,Deftones,1.0
266,Pantera,Bullet for My Valentine,1.2840254166877414
267,Pantera,Otep,1.2840254166877414
268,Pantera,A Day to Remember,1.2840254166877414
269,Pantera,Andy Black,1.4549914146182013
270,System of a Down,Finch,1.0
271,System of a Down,Linkin Park,1.0
272,System of a Down,Thirty Seconds to Mars,1.0
273,System of a Down,Avril Lavigne,1.1331484530668263
274,System of a Down,Extreme,1.191246216612358
275,System of a Down,Escape the Fate,1.1331484530668263
276,System of a Down,Crywank,1.2840254166877414
277,T. Rex,Transvision Vamp,1.2840254166877414
278,T. Rex,Supergrass,1.4549914146182013
279,T. Rex,Suzi Quatro,1.0
280,T. Rex,Smashing Pumpkins,1.2840254166877414
281,T. Rex,Blondie,1.1331484530668263
282,T. Rex,Big Star,1.1331484530668263
283,T. Rex,The Fixx,1.2840254166877414
284,T. Rex,The Cars,1.1331484530668263
285,T. Rex,The Flaming Lips,1.2840254166877414
286,T. Rex,Kiss,1.1331484530668263
287,T. Rex,Bow Wow Wow,1.2840254166877414
288,T. Rex,Concrete Blonde,1.2840254166877414
289,T. Rex,Cheap Trick,1.1331484530668263
290,T. Rex,Cody ChesnuTT,3.2974425414002564
291,T. Rex,Cinderella,1.2840254166877414
292,T. Rex,The Damned,1.1331484530668263
293,T. Rex,Dokken,1.1331484530668263
294,T. Rex,Bay City Rollers,1.0
295,T. Rex,Bauhaus,1.1331484530668263
296,T. Rex,Eagles of Death Metal,1.4549914146182013
297,T. Rex,Twisted Sister,1.1331484530668263
298,T. Rex,Gary Numan,1.1331484530668263
299,T. Rex,Def Leppard,1.1331484530668263
300,T. Rex,Dead or Alive,1.2840254166877414
301,T. Rex,Devendra Banhart,1.6487212707001282
302,T. Rex,Destroyer,1.4549914146182013
303,T. Rex,Johnny Thunders,1.1331484530668263
304,T. Rex,Love and Rockets,1.2840254166877414
305,T. Rex,Roxette,1.2840254166877414
306,T. Rex,Rick Nielsen,1.1331484530668263
307,T. Rex,R.E.M.,1.2840254166877414
308,T. Rex,The Jesus and Mary Chain,1.2840254166877414
309,T. Rex,Placebo,1.4549914146182013
310,T. Rex,Poison,1.2840254166877414
311,T. Rex,Rainbow,1.1331484530668263
312,T. Rex,Be Your Own Pet,1.6487212707001282
313,T. Rex,Sex Pistols,1.1331484530668263
314,T. Rex,The Only Ones,1.1331484530668263
315,T. Rex,Ramones,1.1331484530668263
316,T. Rex,The Weirdos,1.1331484530668263
317,T. Rex,The Power Station,1.2840254166877414
318,T. Rex,The Runaways,1.1331484530668263
319,T. Rex,Adam Ant,1.1331484530668263
320,T. Rex,MÃ¶tley CrÃ¼e,1.2840254166877414
321,T. Rex,Mother Love Bone,1.2840254166877414
322,T. Rex,Sweet,1.1331484530668263
323,T. Rex,Guns N' Roses,1.2840254166877414
324,T. Rex,Thompson Twins,1.1331484530668263
325,T. Rex,Dave Stewart,1.1331484530668263
326,T. Rex,The Brian Jonestown Massacre,1.4549914146182013
327,T. Rex,The Fratellis,1.6487212707001282
328,T. Rex,Aslan,1.2840254166877414
329,T. Rex,Stone Temple Pilots,1.4549914146182013
330,T. Rex,David Essex,1.1331484530668263
331,T. Rex,Gary Glitter,1.0
332,T. Rex,Enuff Z'nuff,1.2840254166877414
333,T. Rex,Alien Sex Fiend,1.2840254166877414
334,T. Rex,Sigue Sigue Sputnik,1.2840254166877414
335,T. Rex,Black Rebel Motorcycle Club,1.4549914146182013
336,T. Rex,L.A. Guns,1.2840254166877414
337,T. Rex,Battles,1.6487212707001282
338,T. Rex,Cock Sparrer,1.1331484530668263
339,T. Rex,W.A.S.P.,1.2840254166877414
340,T. Rex,Velvet Revolver,1.6487212707001282
341,T. Rex,Queen,1.1331484530668263
342,T. Rex,New York Dolls,1.1331484530668263
343,T. Rex,Ric Ocasek,1.1331484530668263
344,T. Rex,The Smiths,1.2840254166877414
345,T. Rex,Accept,1.1331484530668263
346,T. Rex,Hanoi Rocks,1.2840254166877414
347,T. Rex,Yungblud,1.8682459574322223
348,Alice Cooper,Soundgarden,1.2840254166877414
349,Alice Cooper,Alice in Chains,1.2840254166877414
350,Alice Cooper,Spinal Tap,2.568050833375483
351,Alice Cooper,Trans-Siberian Orchestra,2.9099828292364025
352,Alice Cooper,Slash,1.2840254166877414
353,Alice Cooper,The Birthday Party,1.2840254166877414
354,Alice Cooper,Steve Vai,1.2840254166877414
355,Alice Cooper,Bon Jovi,1.2840254166877414
356,Alice Cooper,Insane Clown Posse,1.4549914146182013
357,Alice Cooper,Kiss,1.1331484530668263
358,Alice Cooper,Iron Maiden,1.1331484530668263
359,Alice Cooper,Coheed and Cambria,1.6487212707001282
360,Alice Cooper,The Damned,1.1331484530668263
361,Alice Cooper,The Cult,1.2840254166877414
362,Alice Cooper,Dead Boys,1.1331484530668263
363,Alice Cooper,The Darkness,1.6487212707001282
364,Alice Cooper,Eagles of Death Metal,1.4549914146182013
365,Alice Cooper,Twisted Sister,1.1331484530668263
366,Alice Cooper,Joey Ramone,1.1331484530668263
367,Alice Cooper,Wall of Voodoo,1.1331484530668263
368,Alice Cooper,Gene Simmons,1.0
369,Alice Cooper,Type O Negative,1.2840254166877414
370,Alice Cooper,David Lee Roth,1.1331484530668263
371,Alice Cooper,Rob Zombie,1.4549914146182013
372,Alice Cooper,Van Halen,1.1331484530668263
373,Alice Cooper,Dio,1.2840254166877414
374,Alice Cooper,Saigon Kick,1.2840254166877414
375,Alice Cooper,Sammy Hagar,1.0
376,Alice Cooper,Peter Criss,1.0
377,Alice Cooper,Jerry Cantrell,1.2840254166877414
378,Alice Cooper,Meat Loaf,1.1331484530668263
379,Alice Cooper,Ratt,1.2840254166877414
380,Alice Cooper,Mercyful Fate,1.2840254166877414
381,Alice Cooper,Melvins,1.2840254166877414
382,Alice Cooper,Queens of the Stone Age,1.4549914146182013
383,Alice Cooper,Negative Approach,1.2840254166877414
384,Alice Cooper,Megadeth,1.2840254166877414
385,Alice Cooper,Sex Pistols,1.1331484530668263
386,Alice Cooper,The Replacements,1.1331484530668263
387,Alice Cooper,Ramones,1.1331484530668263
388,Alice Cooper,Monster Magnet,1.2840254166877414
389,Alice Cooper,Mindless Self Indulgence,1.4549914146182013
390,Alice Cooper,MÃ¶tley CrÃ¼e,1.2840254166877414
391,Alice Cooper,Mudhoney,1.2840254166877414
392,Alice Cooper,Guns N' Roses,1.2840254166877414
393,Alice Cooper,AC/DC,1.1331484530668263
394,Alice Cooper,Ace Frehley,1.0
395,Alice Cooper,GWAR,1.2840254166877414
396,Alice Cooper,Alien Sex Fiend,1.2840254166877414
397,Alice Cooper,Slipknot,1.4549914146182013
398,Alice Cooper,Skinny Puppy,1.2840254166877414
399,Alice Cooper,Paul Stanley,1.1331484530668263
400,Alice Cooper,Sonic Youth,1.2840254166877414
401,Alice Cooper,King Diamond,1.1331484530668263
402,Alice Cooper,Chris Cornell,1.2840254166877414
403,Alice Cooper,Cradle of Filth,1.4549914146182013
404,Alice Cooper,The Dictators,1.1331484530668263
405,Alice Cooper,Coal Chamber,1.4549914146182013
406,Alice Cooper,Turbonegro,1.2840254166877414
407,Alice Cooper,W.A.S.P.,1.2840254166877414
408,Alice Cooper,White Zombie,1.2840254166877414
409,Alice Cooper,Marilyn Manson,1.2840254166877414
410,Alice Cooper,Quiet Riot,1.1331484530668263
411,Alice Cooper,Misfits,1.1331484530668263
412,Alice Cooper,Hanoi Rocks,1.2840254166877414
413,Alice Cooper,Death,1.1331484530668263
414,Alice Cooper,Black Veil Brides,1.6487212707001282
415,Alice Cooper,Andy Black,1.8682459574322223
416,Paolo Conte,Zucchero,2.0
417,Paolo Conte,Richard Hawley,2.568050833375483
418,Paolo Conte,Nick Cave,2.0
419,Paolo Conte,Tindersticks,2.568050833375483
420,Paolo Conte,Rodrigo Amarante,3.2974425414002564
421,Alice Coltrane,Four Tet,2.9099828292364025
422,Alice Coltrane,Matthew Halsall,1.6487212707001282
423,Alice Coltrane,Kadhja Bonet,3.7364919148644447
424,Robert Miles,TiÃ«sto,1.1331484530668263
425,Semisonic,Maroon 5,1.0
426,Semisonic,The All-American Rejects,1.1331484530668263
427,Semisonic,Calexico,1.0
428,Semisonic,Never Shout Never,1.1331484530668263
429,Toto,Cutting Crew,1.1331484530668263
430,Toto,Franke & the Knockouts,1.1331484530668263
431,Toto,Night Ranger,1.1331484530668263
432,Toto,Richard Marx,1.1331484530668263
433,Toto,The Outfield,1.1331484530668263
434,Toto,Mr. Mister,1.1331484530668263
435,Toto,Casting Crowns,2.568050833375483
436,Toto,Glass Tiger,1.1331484530668263
437,Tony Bennett,Paolo Conte,1.4549914146182013
438,Tony Bennett,Barry Manilow,2.9099828292364025
439,Tony Bennett,Andy Williams,1.0
440,Tony Bennett,Bobby Darin,2.2662969061336526
441,Tony Bennett,Julio Iglesias,1.2840254166877414
442,Tony Bennett,Gene Pitney,2.568050833375483
443,Tony Bennett,Johnny Mathis,1.1331484530668263
444,Tony Bennett,Scott Walker,2.2662969061336526
445,Tony Bennett,Jon Lucien,1.4549914146182013
446,Tony Bennett,Liza Minnelli,1.0
447,Tony Bennett,Linda Eder,1.6487212707001282
448,Tony Bennett,Michael Franks,1.4549914146182013
449,Tony Bennett,Art Garfunkel,2.2662969061336526
450,Tony Bennett,Tom Jones,2.568050833375483
451,Tony Bennett,Mandy Patinkin,1.4549914146182013
452,Tony Bennett,Paul Anka,2.2662969061336526
453,Tony Bennett,Andrea Bocelli,3.7364919148644447
454,Tony Bennett,Anthony Newley,1.0
455,Tony Bennett,Bobby Vinton,1.1331484530668263
456,Tony Bennett,Little Jimmy Scott,1.1331484530668263
457,Tony Bennett,Kurt Elling,1.8682459574322223
458,Tony Bennett,Jack Jones,1.1331484530668263
459,Tony Bennett,Jane Monheit,2.117000016612675
460,Tony Bennett,Barbra Streisand,1.1331484530668263
461,Tony Bennett,Neil Diamond,2.2662969061336526
462,Tony Bennett,ReneÃ© Olstead,1.8682459574322223
463,Tony Bennett,Michael BublÃ©,1.8682459574322223
464,Tony Bennett,"Harry Connick, Jr.",1.4549914146182013
465,Stan Levey,Billy Cobham,1.1331484530668263
466,Ali Farka TourÃ©,Oumou Sangare,1.1331484530668263
467,Ali Farka TourÃ©,Tinariwen,1.1331484530668263
468,Ali Farka TourÃ©,Toumani DiabatÃ©,1.2840254166877414
469,Ali Farka TourÃ©,Rokia TraorÃ©,1.4549914146182013
470,Ali Farka TourÃ©,Mali Music,2.9099828292364025
471,Pablo MilanÃ©s,Marc Anthony,1.2840254166877414
472,Pablo MilanÃ©s,Issac Delgado,1.4549914146182013
473,Brian May,Slash,1.2840254166877414
474,Brian May,Yngwie Malmsteen,1.2840254166877414
475,Brian May,John Petrucci,1.4549914146182013
476,Tony Levin,Primus,1.2840254166877414
477,Tony Levin,Sting,1.0
478,The Delfonics,All-4-One,1.4549914146182013
479,The Delfonics,Peabo Bryson,1.1331484530668263
480,The Delfonics,Blackstreet,1.4549914146182013
481,The Delfonics,Black Ivory,1.1331484530668263
482,The Delfonics,Boyz II Men,1.2840254166877414
483,The Delfonics,Take 6,2.568050833375483
484,The Delfonics,The Sea and Cake,2.9099828292364025
485,The Delfonics,Guy,1.2840254166877414
486,The Delfonics,Daryl Hall & John Oates,2.2662969061336526
487,The Delfonics,LeVert,1.2840254166877414
488,The Delfonics,Regina Belle,1.2840254166877414
489,TLC,Total,1.0
490,TLC,Alicia Keys,1.0
491,TLC,SisqÃ³,1.0
492,TLC,Anastacia,2.382492433224716
493,TLC,Kelis,1.0
494,TLC,Keyshia Cole,1.1331484530668263
495,TLC,Christina Milian,1.0
496,TLC,Fefe Dobson,2.2662969061336526
497,TLC,Tamia,1.191246216612358
498,TLC,Destiny's Child,1.0
499,TLC,Ciara,1.1331484530668263
500,TLC,Lil' Mo,1.0
501,TLC,JoJo,2.0
502,TLC,Michelle Williams,2.0
503,TLC,Nivea,1.1331484530668263
504,TLC,Mista,1.0
505,TLC,3LW,2.0
506,TLC,MoKenStef,1.0
507,TLC,Monica,1.0
508,TLC,Aaliyah,1.0
509,TLC,Brandy,1.0
510,TLC,Pretty Ricky,1.1331484530668263
511,TLC,Mya,1.0
512,TLC,Britney Spears,2.0
513,TLC,Allure,1.0
514,TLC,BeyoncÃ©,1.0
515,TLC,The Cheetah Girls,2.2662969061336526
516,TLC,Cherish,1.1331484530668263
517,TLC,Christina Aguilera,2.0
518,TLC,Dream,2.0
519,TLC,Sugababes,2.0
520,TLC,Ashanti,1.0
521,TLC,P!nk,2.0
522,TLC,Jessie J,2.568050833375483
523,TLC,Little Mix,2.568050833375483
524,TLC,Becky G,2.568050833375483
525,TLC,Kehlani,1.2840254166877414
526,The Trashmen,The Cramps,1.1331484530668263
527,The Trashmen,Ramones,1.1331484530668263
528,The Trashmen,MotÃ¶rhead,1.1331484530668263
529,The Trashmen,The Stooges,1.0
530,The Trashmen,Lyres,1.2840254166877414
531,Papa Roach,Taproot,1.0
532,Papa Roach,Alien Ant Farm,1.0
533,Papa Roach,Pulse Ultra,1.1331484530668263
534,Papa Roach,Asking Alexandria,1.1331484530668263
535,Papa Roach,Of Mice & Men,1.1331484530668263
536,Alice in Chains,Taproot,1.1331484530668263
537,Alice in Chains,Shinedown,1.2840254166877414
538,Alice in Chains,Audioslave,1.2840254166877414
539,Alice in Chains,Silverchair,1.1331484530668263
540,Alice in Chains,Chevelle,1.1331484530668263
541,Alice in Chains,Black Label Society,1.1331484530668263
542,Alice in Chains,Cold,1.2840254166877414
543,Alice in Chains,Clutch,1.1331484530668263
544,Alice in Chains,Sponge,1.1331484530668263
545,Alice in Chains,Staind,1.1331484530668263
546,Alice in Chains,Vision of Disorder,1.1331484530668263
547,Alice in Chains,Days of the New,1.1331484530668263
548,Alice in Chains,Saliva,1.1331484530668263
549,Alice in Chains,Puddle of Mudd,1.1331484530668263
550,Alice in Chains,10 Years,1.1331484530668263
551,Alice in Chains,Queens of the Stone Age,1.1331484530668263
552,Alice in Chains,A Perfect Circle,1.1331484530668263
553,Alice in Chains,Thirty Seconds to Mars,1.1331484530668263
554,Alice in Chains,Our Lady Peace,1.1331484530668263
555,Alice in Chains,Three Days Grace,1.1331484530668263
556,Alice in Chains,Monster Magnet,1.0
557,Alice in Chains,Buckcherry,1.1331484530668263
558,Alice in Chains,Candlebox,1.1331484530668263
