,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Vocal,year
61,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1991
62,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1992
63,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1993
64,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1994
65,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1995
66,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1996
67,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1997
68,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1998
69,9.0,101.0,4.0,27.0,41.0,333.0,22.0,141.0,93.0,77.0,399.0,213.0,32.0,2212.0,554.0,128.0,78.0,45.0,159.0,1999
70,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2000
71,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2001
72,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2002
73,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2003
74,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2004
75,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2005
76,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2006
77,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2007
78,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2008
79,11.0,101.0,4.0,27.0,46.0,378.0,22.0,192.0,95.0,81.0,406.0,228.0,38.0,2692.0,634.0,141.0,88.0,50.0,162.0,2009
80,11.0,101.0,4.0,28.0,46.0,403.0,23.0,208.0,95.0,81.0,406.0,229.0,38.0,2808.0,677.0,141.0,89.0,50.0,162.0,2010
